"V1" "V2"
"theta_cur" 2.58439829171552 4.78492460452527
"theta_cur" 4.53643801699321 7.2575858147329
"theta_cur" 4.08021434686157 6.25722897127271
"theta_cur" 3.68930217925003 4.58953560659692
"theta_cur" 2.0176957569317 5.09513360641906
"theta_cur" 4.66443006379413 4.1094276176847
"theta_cur" 2.654555031336 5.91016178525807
"theta_cur" 3.81521717080422 6.75207384993342
"theta_cur" 3.39374828444875 6.6243482434247
"theta_cur" 3.1109013793433 6.26942447868663
"theta_cur" 3.78259998083263 3.57641589465756
"theta_cur" 1.3730687781417 4.23970226401642
"theta_cur" 2.72364723906995 6.04867335257154
"theta_cur" 3.90618721389138 4.60813510054797
"theta_cur" 2.00750335917401 6.41164278376438
"theta_cur" 3.212972092395 7.03871141075681
"theta_cur" 4.17714317019338 4.35897087085656
"theta_cur" 2.62590693692807 5.84839002101998
"theta_cur" 3.9234829257689 6.18288538521163
"theta_cur" 2.3229154119134 5.19157079289587
"theta_cur" 3.98207109694759 6.88814547376457
"theta_cur" 3.86866728177406 8.09002585353685
"theta_cur" 4.18329993833258 3.3301659454667
"theta_cur" 1.15574930875349 4.60236342652516
"theta_cur" 1.76025715103287 5.25199999393885
"theta_cur" 4.4195892585325 4.36736898005462
"theta_cur" 2.17923649303054 5.70162759687644
"theta_cur" 2.88688890785716 7.69200781842681
"theta_cur" 4.40406007067207 3.88396656001218
"theta_cur" 5.02009773089541 3.40733507040256
"theta_cur" 1.44869200037932 4.62728316951568
"theta_cur" 1.48243946097484 5.29057286141756
"theta_cur" 2.34030005931593 6.82099873341846
"theta_cur" 2.66741656250402 7.81007010481667
"theta_cur" 3.71386142794222 5.08444442376019
"theta_cur" 3.6166569498109 6.22228921614195
"theta_cur" 3.78496739718757 6.49849020789256
"theta_cur" 4.08523147795866 6.70527667002743
"theta_cur" 3.17884880222431 4.06770179485238
"theta_cur" 3.34386735385336 5.47436245545766
"theta_cur" 2.65262356951622 6.13618462025744
"theta_cur" 3.14297352942256 7.57414833809237
"theta_cur" 3.03218353031159 6.60988011125395
"theta_cur" 3.06588793549567 6.54317561359886
"theta_cur" 3.91215142137711 4.37394599539464
"theta_cur" 3.02241808608311 5.93957680074324
"theta_cur" 3.97527843154426 3.52739115555584
"theta_cur" 2.21649704898009 3.97605826388262
"theta_cur" 2.43250071960475 5.32115218643532
"theta_cur" 4.07506123552111 5.54288286745956
"theta_cur" 3.00042257147561 6.82334118944987
"theta_cur" 5.06325169522649 5.69968770589413
"theta_cur" 3.6752810504996 5.58416295279413
